OBJECTID,Node,NODE_1,DATETAKEN,ON_ST,FRM_ST,TO_ST,CLASS,Dir1,Count1,Dir2,Count2,TotalVolume,Shape_STLength__,ShapeSTLength
116,111,111,2016-10-06T07:00:00.000Z,Kyrene Rd,Baseline,Guadalupe,Arterial,North Bound,12376,South Bound,10507,22883,5294.57712438,5294.57712437501
117,112,112,2016-10-13T07:00:00.000Z,Mill Ave,Baseline,Cornell,Arterial,North Bound,2372,South Bound,2787,5159,2371.55464633,2371.5546463313
118,113,113,2016-10-05T07:00:00.000Z,College Ave,Baseline,Cornell,Collector,North Bound,597,South Bound,581,1178,2558.77041924,2558.77041923887
119,114,114,2016-03-16T00:00:00.000Z,All America Way,Guadalupe,Cornell,Collector,North Bound,1291,South Bound,1406,2697,3564.22487406,3564.22487406319
120,115,115,2018-01-16T07:00:00.000Z,Rural Rd,Baseline,Guadalupe,Arterial,North Bound,16233,South Bound,16573,32806,5292.48314857,5292.48314856638
121,116,116,2016-10-06T07:00:00.000Z,Southshore Dr,Rural,McClintock,Collector,East Bound,1037,West Bound,989,2026,5478.68475923,5478.68475922886
122,117,117,2016-11-08T07:00:00.000Z,Lakeshore Dr,Baseline,Southshore,Collector,North Bound,2356,South Bound,2489,4845,2773.97189794,2773.97189794122
123,118,118,2017-03-14T07:00:00.000Z,McClintock Dr,Baseline,Guadalupe,Arterial,North Bound,14736,South Bound,14419,29155,5477.82731991,5477.82731991388
124,119,119,2016-09-21T07:00:00.000Z,SB Price Rd,Baseline,Guadalupe,Arterial,Null,0,South Bound,5375,5375,5319.15008843,5319.15008842723
125,161,161,2016-09-22T07:00:00.000Z,NB Price Rd,Baseline,Guadalupe,Arterial,North Bound,4689,Null,0,4689,5328.60586855,5328.60586854617
126,120,120,2016-11-15T07:00:00.000Z,Guadalupe Rd,McClintock,Price,Arterial,East Bound,11994,West Bound,12384,24378,5078.87009412,5078.87009412091
127,121,121,2016-11-15T07:00:00.000Z,Guadalupe Rd,Rural,McClintock,Arterial,East Bound,10067,West Bound,10538,20605,5291.4893267,5291.48932670408
128,122,122,2016-03-16T07:00:00.000Z,Guadalupe Rd,Kyrene,Rural,Arterial,East Bound,11217,West Bound,11470,22687,5329.12948597,5329.12948596582
129,123,123,2016-11-15T07:00:00.000Z,Guadalupe Rd,Hardy,Kyrene,Arterial,East Bound,6647,West Bound,6488,13135,3276.56412505,3276.56412505103
130,124,124,2016-10-06T07:00:00.000Z,Priest Dr,Carmen,Grove,Arterial,North Bound,6798,South Bound,6732,13530,3189.37259812,3189.37259812403
131,125,125,2016-11-15T07:00:00.000Z,Grove Parkway,Priest,Kyrene,Collector,East Bound,4977,West Bound,5043,10020,5379.48624224,5379.48624224084
132,126,126,2016-10-06T07:00:00.000Z,Kyrene Rd,Guadalupe,Elliot,Arterial,North Bound,13742,South Bound,12679,26421,5263.0512798,5263.05127979702
133,127,127,2016-10-04T07:00:00.000Z,Rural Rd,Guadalupe,Elliot,Arterial,North Bound,13115,South Bound,13172,26287,5280.91028347,5280.91028346891
134,128,128,2017-03-14T07:00:00.000Z,McClintock Dr,Guadalupe,Elliot,Arterial,North Bound,13649,South Bound,13648,27297,5321.17519675,5321.17519674601
135,129,129,2016-09-21T07:00:00.000Z,SB Price Rd,Guadalupe,Elliot,Arterial,Null,0,South Bound,5485,5485,5278.02317864,5278.02317863502
136,162,162,2016-09-22T07:00:00.000Z,NB Price Rd,Guadalupe,Elliot,Arterial,North Bound,5485,Null,0,5485,5291.91107989,5291.91107989251
137,130,130,2016-10-04T07:00:00.000Z,Elliot Rd,McClintock,Price,Arterial,East Bound,16831,West Bound,16989,33820,5139.44054824,5139.44054824245
138,131,131,2016-10-05T07:00:00.000Z,Elliot Rd,Rural,McClintock,Arterial,East Bound,1555,West Bound,16178,31736,5283.05519876,5283.055198759
139,132,132,2016-10-04T07:00:00.000Z,Elliot Rd,Kyrene,Rural,Arterial,East Bound,16021,West Bound,15663,31684,5283.0814146,5283.0814145982
140,133,133,2016-10-04T07:00:00.000Z,Elliot Rd,Priest,Kyrene,Arterial,East Bound,13001,West Bound,15341,28342,5318.13451635,5318.13451635024
141,134,134,2016-11-08T07:00:00.000Z,Elliot Rd,I-10,Priest,Arterial,East Bound,16501,West Bound,16952,33453,2398.44767356,2398.44767355773
142,135,135,2016-10-06T07:00:00.000Z,Priest Dr,Elliot,Warner,Arterial,North Bound,13350,South Bound,10582,23932,5303.46630444,5303.46630443541
143,136,136,2016-10-06T07:00:00.000Z,Kyrene Rd,Elliot,Warner,Arterial,North Bound,9593,South Bound,8626,18219,5306.63158645,5306.63158645462
144,137,137,2016-10-06T07:00:00.000Z,Rural Rd,Elliot,Warner,Arterial,North Bound,9667,South Bound,9720,19387,5274.17170644,5274.17170643555
145,138,138,2016-11-15T07:00:00.000Z,McClintock Dr,Elliot,Warner,Arterial,North Bound,11455,South Bound,10992,22447,5260.37796626,5260.37796626238
146,139,139,2016-09-21T07:00:00.000Z,SB Price Rd,Elliot,Warner,Arterial,Null,0,South Bound,5345,5345,5258.29757668,5258.2975766754
147,163,163,2016-09-22T07:00:00.000Z,NB Price Rd,Elliot,Warner,Arterial,North Bound,5414,Null,0,5414,5255.72822498,5255.72822497615
148,140,140,2016-10-06T07:00:00.000Z,Warner Rd,McClintock,Price,Arterial,East Bound,16609,West Bound,17092,33701,5394.72639981,5394.7263998093
149,141,141,2016-10-06T07:00:00.000Z,Warner Rd,Rural,McClintock,Arterial,East Bound,14826,West Bound,13252,28078,5266.04473443,5266.04473443409
150,142,142,2016-10-06T07:00:00.000Z,Warner Rd,Kyrene,Rural,Arterial,East Bound,13162,West Bound,12747,25909,5277.65842014,5277.65842013823
151,143,143,2016-10-06T07:00:00.000Z,Warner Rd,Priest,Kyrene,Arterial,East Bound,14221,West Bound,14234,28455,5317.33678662,5317.33678662026
152,144,144,2016-10-06T07:00:00.000Z,Warner Rd,I-10,Priest,Arterial,East Bound,15676,West Bound,15305,30981,2544.49817066,2544.49817066119
153,145,145,2018-01-18T07:00:00.000Z,Priest Dr,Warner,Ray,Arterial,North Bound,13262,South Bound,14765,28027,5262.56294392,5262.5629439194
154,146,146,2016-11-08T07:00:00.000Z,Kyrene Rd,Warner,Orchid,Arterial,North Bound,11560,South Bound,10688,22248,4011.18183403,4011.18183402892
155,147,147,2016-10-06T07:00:00.000Z,Rural Rd,Warner,Ray,Arterial,North Bound,9382,South Bound,9304,18686,5295.27244821,5295.27244821216
156,148,148,2016-11-15T07:00:00.000Z,McClintock Dr,Warner,City Limits,Arterial,North Bound,11319,South Bound,10190,21509,2650.46005281,2650.46005280504
157,149,149,2016-09-21T07:00:00.000Z,SB Price Rd,Warner,Ray,Arterial,Null,0,South Bound,4352,4352,2674.70837552,2674.7083755211
158,150,150,2016-03-23T07:00:00.000Z,Rio Salado,52nd,Priest,Arterial,East Bound,3340,West Bound,3053,6393,3485.13452068,3485.13452067891
159,151,151,2016-11-15T07:00:00.000Z,Hardy Dr,Elliot,Warner,Collector,North Bound,5476,South Bound,5237,10713,5294.77800006,5294.77800006103
160,152,152,2016-10-06T07:00:00.000Z,Priest Dr,Elliot,Grove Pkwy,Arterial,North Bound,10803,South Bound,10783,21586,922.60560016,922.605600158863
161,153,153,2016-11-08T07:00:00.000Z,River Parkway,Elliot,Warner,Collector,North Bound,1869,South Bound,2158,4027,6104.66181584,6104.66181584414
162,154,154,2018-01-25T07:00:00.000Z,Priest Drive,Southern,Superstition,Arterial,North Bound,22530,South Bound,21598,44128,1921.40729308,1921.40729308012
163,155,155,2018-01-25T07:00:00.000Z,Priest Dr,202,Rio Salado,Arterial,North Bound,20549,South Bound,17937,38486,2765.14907916,2765.14907916416
